Geo ID,INTPTLAT,INTPTLON,ZIPCODE
484530366002,30.286429,-97.971057,78738
484530024421,30.1812544,-97.7552919,78744
484530023221,30.2249124,-97.7587391,78704
484530023232,30.2333784,-97.7481133,78704
484530424001,30.3712927,-97.6023406,78754
484530310003,30.1981269,-97.8353925,78715
484530317003,30.187371,-97.8417464,78748
484530320002,30.2342266,-97.8327806,78749
484530352002,30.3937791,-98.0291147,78669
484910215032,30.5241098,-97.6710251,78664
484530319003,30.1700246,-97.8332755,78748
484530318003,30.176895,-97.8315453,78748
484530436003,30.3333438,-97.6761858,78754
484530322002,30.3649684,-97.7560623,78731
484530403003,30.3412558,-97.6916723,78752
484530424002,30.3455321,-97.627693,78754
484530302003,30.3706041,-97.7517894,78759
484530021052,30.3167562,-97.7105296,78751
484530313002,30.1851088,-97.8596173,78749
484530302002,30.3780879,-97.7426101,78759
484530435003,30.3584142,-97.6613003,78753
484530307002,30.3459974,-97.7755599,78731
484530015044,30.3455555,-97.7307654,78757
484530307003,30.3477574,-97.7867527,78731
484530402001,30.3257814,-97.688573,78752
484530323002,30.3600663,-97.7486336,78731
484530374002,30.4248071,-98.0056038,78645
484530022012,30.3072252,-97.6550924,78724
484530021101,30.2689593,-97.6846525,78721
484530021092,30.2795723,-97.6914013,78721
484530374003,30.434577,-98.022071,78645
484530340001,30.3285305,-97.9002384,78732
484530400004,30.3475531,-97.707704,78753
484530019161,30.3051275,-97.8926604,78733
484530015051,30.3353845,-97.7348826,78757
484530015054,30.331548,-97.7268225,78757
484530019141,30.247825,-97.8260227,78735
484910203231,30.5367259,-97.8542268,78641
484530021112,30.2532607,-97.6940465,78721
484530021111,30.2682835,-97.6923533,78721
484530021082,30.3061369,-97.6639016,78723
484530021081,30.2942939,-97.6707605,78723
484530016061,30.3056732,-97.7608291,78703
484530021041,30.3172502,-97.6946194,78723
484530025002,30.4210139,-97.7533129,78859
484530025004,30.4127915,-97.7501389,78859
484530025003,30.4137029,-97.7558491,78859
484910203212,30.5460501,-97.8464491,78641
484530025001,30.4121817,-97.7610542,78859
482090101001,29.8828279,-97.9417543,78666
482090109051,30.0203305,-98.0076183,78676
482090102001,29.8936427,-97.9452216,78666
482090107021,29.9370403,-97.9182443,78666
484910214023,30.6310736,-97.6813747,78626
484910213001,30.7860905,-97.4312745,76511
484910213003,30.7103392,-97.4457168,76530
482090101002,29.8772377,-97.9505626,78666
482090102002,29.8885725,-97.9383923,78666
482090108091,30.2191462,-98.0044382,78737
484910209003,30.5378648,-97.2681092,76578
484910201141,30.6722298,-97.6921372,78628
